,key,value
0,coal,0.038461538461538464
1,commit,0.038461538461538464
2,committed,0.038461538461538464
3,country,0.038461538461538464
4,crime,0.038461538461538464
5,did,0.038461538461538464
6,don,0.038461538461538464
7,dream,0.038461538461538464
8,escapes,0.038461538461538464
9,father,0.038461538461538464
10,finnish,0.038461538461538464
11,framed,0.038461538461538464
12,jail,0.038461538461538464
13,just,0.038461538461538464
14,kasurinen,0.038461538461538464
15,leaving,0.038461538461538464
16,life,0.038461538461538464
17,miner,0.038461538461538464
18,new,0.038461538461538464
19,planned,0.038461538461538464
20,prison,0.038461538461538464
21,starting,0.038461538461538464
22,starts,0.038461538461538464
23,suicide,0.038461538461538464
24,taisto,0.038461538461538464
25,things,0.038461538461538464
,key,value
0,affair,0.1111111111111111
1,death,0.1111111111111111
2,episode,0.1111111111111111
3,garbage,0.1111111111111111
4,involving,0.1111111111111111
5,life,0.1111111111111111
6,man,0.1111111111111111
7,nikander,0.1111111111111111
8,worker,0.1111111111111111
,key,value
0,bellhop,0.0625
1,evening,0.0625
2,guests,0.0625
3,happening,0.0625
4,hotel,0.0625
5,job,0.0625
6,night,0.0625
7,outrageous,0.0625
8,place,0.0625
9,predicaments,0.0625
10,room,0.0625
11,service,0.0625
12,serving,0.0625
13,ted,0.0625
14,unbelievable,0.0625
15,unusual,0.0625
,key,value
0,accidentally,0.02631578947368421
1,amp,0.02631578947368421
2,bargained,0.02631578947368421
3,boxing,0.02631578947368421
4,cat,0.02631578947368421
5,cracking,0.02631578947368421
6,directly,0.02631578947368421
7,disloyal,0.02631578947368421
8,drama,0.02631578947368421
9,drug,0.02631578947368421
10,fallon,0.05263157894736842
11,frank,0.02631578947368421
12,game,0.02631578947368421
13,henchman,0.02631578947368421
14,john,0.02631578947368421
15,jungle,0.02631578947368421
16,lands,0.02631578947368421
17,lord,0.02631578947368421
18,match,0.02631578947368421
19,mercilessly,0.02631578947368421
20,mike,0.02631578947368421
21,mouse,0.02631578947368421
22,murder,0.02631578947368421
23,path,0.02631578947368421
24,prey,0.02631578947368421
25,racing,0.02631578947368421
26,rey,0.02631578947368421
27,savage,0.02631578947368421
28,stalked,0.02631578947368421
29,suspense,0.02631578947368421
30,taut,0.02631578947368421
31,turn,0.02631578947368421
32,unwilling,0.02631578947368421
33,urban,0.02631578947368421
34,vicious,0.02631578947368421
35,wise,0.02631578947368421
36,witnessing,0.02631578947368421
37,wrong,0.02631578947368421
,key,value
0,3po,0.03333333333333333
1,beautiful,0.03333333333333333
2,captain,0.03333333333333333
3,captured,0.03333333333333333
4,d2,0.03333333333333333
5,dashing,0.03333333333333333
6,duo,0.03333333333333333
7,effort,0.03333333333333333
8,empire,0.06666666666666667
9,evil,0.03333333333333333
10,forces,0.03333333333333333
11,galactic,0.03333333333333333
12,han,0.03333333333333333
13,held,0.03333333333333333
14,hostage,0.03333333333333333
15,imperial,0.03333333333333333
16,justice,0.03333333333333333
17,leia,0.03333333333333333
18,loveable,0.03333333333333333
19,luke,0.03333333333333333
20,peace,0.03333333333333333
21,princess,0.06666666666666667
22,r2,0.03333333333333333
23,rescue,0.03333333333333333
24,restore,0.03333333333333333
25,robot,0.03333333333333333
26,skywalker,0.03333333333333333
27,solo,0.03333333333333333
28,team,0.03333333333333333
29,venturesome,0.03333333333333333
,key,value
0,adventurous,0.03125
1,aquarium,0.03125
2,barrier,0.03125
3,bring,0.03125
4,clownfish,0.03125
5,dentist,0.03125
6,dory,0.03125
7,dude,0.03125
8,father,0.03125
9,fish,0.03125
10,forgetful,0.03125
11,friendly,0.03125
12,great,0.03125
13,home,0.0625
14,hungry,0.03125
15,hypnotic,0.03125
16,jellyfish,0.03125
17,marlin,0.03125
18,meeting,0.03125
19,nemo,0.0625
20,office,0.03125
21,reef,0.03125
22,seagulls,0.03125
23,sharks,0.03125
24,surfer,0.03125
25,taken,0.03125
26,turtles,0.03125
27,unexpectedly,0.03125
28,vegetarian,0.03125
29,way,0.03125
30,worrisome,0.03125
31,young,0.03125
,key,value
0,ability,0.03333333333333333
1,accomplished,0.03333333333333333
2,attained,0.03333333333333333
3,case,0.03333333333333333
4,challenges,0.03333333333333333
5,courage,0.03333333333333333
6,despite,0.03333333333333333
7,determination,0.03333333333333333
8,eludes,0.03333333333333333
9,events,0.03333333333333333
10,exceeding,0.03333333333333333
11,far,0.03333333333333333
12,forrest,0.03333333333333333
13,great,0.03333333333333333
14,gump,0.03333333333333333
15,historic,0.03333333333333333
16,imagined,0.03333333333333333
17,important,0.03333333333333333
18,iq,0.03333333333333333
19,life,0.03333333333333333
20,love,0.06666666666666667
21,low,0.03333333333333333
22,man,0.06666666666666667
23,present,0.03333333333333333
24,proved,0.03333333333333333
25,rose,0.03333333333333333
26,significant,0.03333333333333333
27,story,0.03333333333333333
28,things,0.06666666666666667
29,true,0.03333333333333333
,key,value
0,attractive,0.0625
1,burnham,0.0625
2,crisis,0.0625
3,daughter,0.0625
4,decides,0.0625
5,depressed,0.0625
6,developing,0.0625
7,father,0.0625
8,friend,0.0625
9,hectic,0.0625
10,infatuation,0.0625
11,lester,0.0625
12,life,0.125
13,mid,0.0625
14,suburban,0.0625
15,turn,0.0625
,key,value
0,appears,0.04
1,boy,0.04
2,charles,0.04
3,deeply,0.04
4,destructive,0.04
5,event,0.04
6,foster,0.04
7,industrialist,0.04
8,kane,0.04
9,life,0.04
10,magnate,0.04
11,makes,0.04
12,meaning,0.04
13,mother,0.04
14,newspaper,0.04
15,reaction,0.04
16,rest,0.04
17,result,0.04
18,rich,0.04
19,self,0.04
